DATE,open,high,low,close,tick_volume,spread
2025-02-07 02:20:00,1.24329,1.24331,1.24301,1.24312,157,5
2025-02-07 02:25:00,1.24311,1.24323,1.24295,1.24295,102,5
2025-02-07 02:30:00,1.24295,1.2429999999999999,1.2428,1.2428,130,5
2025-02-07 02:35:00,1.24274,1.2428,1.24261,1.2427,100,5
2025-02-07 02:40:00,1.2427,1.2427,1.2425,1.24253,95,5
2025-02-07 02:45:00,1.24252,1.24274,1.24232,1.24236,162,5
2025-02-07 02:50:00,1.24236,1.24261,1.24234,1.24261,125,5
2025-02-07 02:55:00,1.24259,1.24265,1.24243,1.24243,131,5
2025-02-07 03:00:00,1.24243,1.24284,1.24225,1.24278,179,5
2025-02-07 03:05:00,1.24281,1.24295,1.2426300000000001,1.24281,148,5
2025-02-07 03:10:00,1.24283,1.24283,1.24261,1.24261,142,5
2025-02-07 03:15:00,1.2426300000000001,1.24286,1.24261,1.24274,152,5
2025-02-07 03:20:00,1.24275,1.24294,1.2427,1.24293,168,5
2025-02-07 03:25:00,1.24292,1.24302,1.24274,1.24282,188,5
2025-02-07 03:30:00,1.24281,1.24285,1.24259,1.24271,193,5
2025-02-07 03:35:00,1.24271,1.24304,1.2427,1.24282,163,5
2025-02-07 03:40:00,1.24283,1.24284,1.24254,1.24273,148,5
2025-02-07 03:45:00,1.24273,1.2431,1.2427,1.24292,188,5
2025-02-07 03:50:00,1.24293,1.24344,1.24284,1.24344,193,5
2025-02-07 03:55:00,1.24343,1.24349,1.24295,1.24312,234,5
2025-02-07 04:00:00,1.24311,1.24335,1.24311,1.24323,174,5
2025-02-07 04:05:00,1.24322,1.24339,1.24315,1.24321,130,3
2025-02-07 04:10:00,1.24321,1.2434,1.24314,1.24318,146,5
2025-02-07 04:15:00,1.24318,1.24347,1.24318,1.24337,130,5
2025-02-07 04:20:00,1.24339,1.24355,1.24334,1.24348,144,5
2025-02-07 04:25:00,1.24348,1.24353,1.24335,1.24349,127,5
2025-02-07 04:30:00,1.24352,1.24352,1.24332,1.24342,142,5
2025-02-07 04:35:00,1.24342,1.24359,1.24334,1.24346,139,5
2025-02-07 04:40:00,1.24353,1.24359,1.24325,1.2433,131,5
2025-02-07 04:45:00,1.24329,1.24335,1.24302,1.24323,132,5
2025-02-07 04:50:00,1.24323,1.24352,1.24323,1.24352,118,5
2025-02-07 04:55:00,1.24352,1.24389,1.24342,1.24388,148,5
2025-02-07 05:00:00,1.24389,1.24394,1.24372,1.24374,130,5
2025-02-07 05:05:00,1.24374,1.24374,1.2435100000000001,1.24352,143,5
2025-02-07 05:10:00,1.24352,1.24375,1.24349,1.24364,91,5
2025-02-07 05:15:00,1.24365,1.24366,1.24336,1.2434,111,5
2025-02-07 05:20:00,1.24343,1.24358,1.24336,1.24344,131,5
2025-02-07 05:25:00,1.24344,1.24344,1.2433,1.2433,120,5
2025-02-07 05:30:00,1.24331,1.24349,1.2433,1.24335,94,5
2025-02-07 05:35:00,1.24335,1.24342,1.24304,1.24304,113,5
2025-02-07 05:40:00,1.24304,1.24307,1.24273,1.24275,107,5
2025-02-07 05:45:00,1.24275,1.24284,1.24264,1.24268,128,5
2025-02-07 05:50:00,1.24269,1.24292,1.24262,1.24288,89,5
2025-02-07 05:55:00,1.24288,1.24288,1.24264,1.2428,120,5
2025-02-07 06:00:00,1.2428,1.24285,1.24272,1.24272,88,5
2025-02-07 06:05:00,1.24273,1.24273,1.24242,1.24244,79,5
2025-02-07 06:10:00,1.24244,1.24255,1.24243,1.24245,108,5
2025-02-07 06:15:00,1.24244,1.24253,1.24227,1.24237,88,5
2025-02-07 06:20:00,1.24238,1.24248,1.24232,1.24245,107,5
2025-02-07 06:25:00,1.24244,1.24265,1.24244,1.24264,82,5
2025-02-07 06:30:00,1.24264,1.24292,1.24262,1.24286,108,5
2025-02-07 06:35:00,1.24286,1.24286,1.24254,1.24255,110,5
2025-02-07 06:40:00,1.24254,1.24267,1.24254,1.24262,83,5
2025-02-07 06:45:00,1.2426300000000001,1.2427,1.24257,1.24258,86,5
2025-02-07 06:50:00,1.24258,1.2427,1.24255,1.24261,80,5
2025-02-07 06:55:00,1.2426,1.24282,1.24256,1.24281,94,5
2025-02-07 07:00:00,1.2428,1.2429000000000001,1.24273,1.24288,100,5
2025-02-07 07:05:00,1.24287,1.24288,1.24235,1.24255,115,5
2025-02-07 07:10:00,1.24254,1.24258,1.24236,1.24238,130,5
2025-02-07 07:15:00,1.24238,1.24248,1.24227,1.24242,101,5
