DATE,open,high,low,close,tick_volume,spread
2025-02-03 04:00:00,155.708,155.869,155.471,155.542,4061,2
2025-02-03 05:00:00,155.542,155.758,155.491,155.651,2973,4
2025-02-03 06:00:00,155.652,155.745,155.57,155.712,3451,2
2025-02-03 07:00:00,155.712,155.715,155.461,155.574,2753,2
2025-02-03 08:00:00,155.577,155.612,155.279,155.38,3533,2
2025-02-03 09:00:00,155.382,155.662,155.382,155.624,3979,4
2025-02-03 10:00:00,155.624,155.715,155.349,155.453,4089,4
2025-02-03 11:00:00,155.463,155.469,155.001,155.002,3461,2
2025-02-03 12:00:00,155.007,155.131,154.831,154.938,3253,2
2025-02-03 13:00:00,154.938,154.963,154.594,154.607,3311,4
2025-02-03 14:00:00,154.612,154.62,154.289,154.569,3071,2
2025-02-03 15:00:00,154.568,154.832,154.405,154.649,3572,4
2025-02-03 16:00:00,154.654,154.744,154.378,154.494,4453,3
2025-02-03 17:00:00,154.706,154.862,154.005,154.723,5479,2
2025-02-03 18:00:00,154.723,154.856,154.54,154.688,4390,3
2025-02-03 19:00:00,154.691,154.724,154.524,154.656,3957,3
2025-02-03 20:00:00,154.657,155.012,154.57,154.958,3155,4
2025-02-03 21:00:00,154.958,155.002,154.828,154.896,2785,4
2025-02-03 22:00:00,154.891,154.899,154.654,154.709,2762,3
2025-02-03 23:00:00,154.717,154.921,154.551,154.726,2164,4
2025-02-04 00:00:00,154.692,154.871,154.661,154.788,488,23
2025-02-04 01:00:00,154.793,155.296,154.774,155.27,2698,4
2025-02-04 02:00:00,155.27,155.403,155.189,155.313,2937,4
2025-02-04 03:00:00,155.313,155.394,155.051,155.109,3190,2
2025-02-04 04:00:00,155.113,155.254,155.038,155.153,2542,4
2025-02-04 05:00:00,155.152,155.304,155.069,155.211,2022,2
2025-02-04 06:00:00,155.212,155.288,155.187,155.283,2040,4
2025-02-04 07:00:00,155.284,155.327,154.827,155.249,4168,2
2025-02-04 08:00:00,155.249,155.391,155.16,155.221,2648,3
2025-02-04 09:00:00,155.207,155.36,155.17,155.326,2942,2
2025-02-04 10:00:00,155.327,155.52,155.129,155.245,3530,3
2025-02-04 11:00:00,155.245,155.355,155.065,155.341,3345,3
2025-02-04 12:00:00,155.342,155.362,155.242,155.27,2571,4
2025-02-04 13:00:00,155.254,155.335,155.144,155.313,2409,4
2025-02-04 14:00:00,155.314,155.396,155.239,155.277,2636,3
2025-02-04 15:00:00,155.28,155.387,155.242,155.26,2977,4
2025-02-04 16:00:00,155.259,155.261,154.955,155.004,3682,4
2025-02-04 17:00:00,155.01,155.016,154.538,154.672,4461,2
2025-02-04 18:00:00,154.669,154.669,154.465,154.56,3511,3
2025-02-04 19:00:00,154.56,154.622,154.25,154.268,3229,3
2025-02-04 20:00:00,154.267,154.332,154.171,154.299,2370,3
2025-02-04 21:00:00,154.299,154.336,154.226,154.285,2361,3
2025-02-04 22:00:00,154.283,154.319,154.234,154.263,2036,4
2025-02-04 23:00:00,154.262,154.345,154.233,154.325,1159,4
2025-02-05 00:00:00,154.326,154.401,154.284,154.349,304,23
2025-02-05 01:00:00,154.365,154.462,154.032,154.137,2150,4
2025-02-05 02:00:00,154.133,154.357,153.835,153.859,3554,4
2025-02-05 03:00:00,153.852,153.852,153.469,153.6,4087,2
2025-02-05 04:00:00,153.609,153.639,153.174,153.387,3577,3
2025-02-05 05:00:00,153.375,153.46,153.085,153.219,2927,3
2025-02-05 06:00:00,153.213,153.389,153.114,153.359,2656,4
2025-02-05 07:00:00,153.361,153.567,153.35,153.425,2559,3
2025-02-05 08:00:00,153.43,153.45,153.163,153.187,2799,4
2025-02-05 09:00:00,153.188,153.363,153.074,153.302,3210,4
2025-02-05 10:00:00,153.326,153.391,152.916,153.053,3600,4
2025-02-05 11:00:00,153.052,153.133,152.645,152.841,3514,3
2025-02-05 12:00:00,152.84,152.841,152.553,152.64,2811,4
2025-02-05 13:00:00,152.64,152.885,152.625,152.872,2469,3
2025-02-05 14:00:00,152.873,152.948,152.741,152.863,2490,4
2025-02-05 15:00:00,152.866,153.107,152.74,153.046,4225,3
2025-02-05 16:00:00,153.043,153.205,152.772,152.775,4031,3
2025-02-05 17:00:00,152.791,152.791,152.111,152.137,4984,2
2025-02-05 18:00:00,152.138,152.381,152.114,152.336,3759,4
2025-02-05 19:00:00,152.334,152.442,152.252,152.289,2804,3
2025-02-05 20:00:00,152.289,152.406,152.245,152.317,2517,4
2025-02-05 21:00:00,152.315,152.542,152.309,152.522,2401,4
2025-02-05 22:00:00,152.521,152.767,152.521,152.693,2535,4
2025-02-05 23:00:00,152.694,152.709,152.565,152.589,1413,4
2025-02-06 00:00:00,152.545,152.597,152.493,152.565,334,23
2025-02-06 01:00:00,152.563,152.752,152.468,152.65,1399,1
2025-02-06 02:00:00,152.646,152.686,152.325,152.356,3287,4
2025-02-06 03:00:00,152.354,152.384,151.809,152.023,3383,4
2025-02-06 04:00:00,152.014,152.3,151.934,152.257,2930,4
2025-02-06 05:00:00,152.258,152.286,152.055,152.236,2214,3
2025-02-06 06:00:00,152.236,152.355,152.128,152.352,1901,3
2025-02-06 07:00:00,152.351,152.513,152.167,152.419,2688,4
2025-02-06 08:00:00,152.418,152.589,152.403,152.561,2204,3
2025-02-06 09:00:00,152.56,152.672,152.489,152.581,2926,4
